Job Title,Job Description,Salary,Applying Link,Company,Location
Software Engineer,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Principal Software Engineer What we believe in ABB's Process Automatio…",Not specified,https://www.adzuna.in/land/ad/5785772072?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=347C6515162441045A20EF2C51B5BD0A275ED41D,ABB,"Bangalore, Karnataka"
Software Engineer,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",Not specified,https://www.adzuna.in/land/ad/5794768004?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=C05DE6F8650279967E2EFA6653CC813101F53567,Kyndryl,"Bangalore, Karnataka"
Software Engineer,"This job is with Cornerstone OnDemand, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Cornerstone OnDemand is looking for a AI Engineer whowill lead the design and development of AI-powered solutions using MicrosoftAzure AI services, Copilot, and Generative AI technologies. You will beresponsible for building intelligent automation solutions, implementing AImodels, and creating custom Ge…",Not specified,https://www.adzuna.in/land/ad/5785773087?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=C323D7AA94D6ED689E44F7DAD2553661E440B7F7,Cornerstone OnDemand,"Hyderabad, Telangana"
Software Engineer,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",Not specified,https://www.adzuna.in/land/ad/5790410357?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=29730E313951A15A099AE4818597107B8E7A4542,Kyndryl,"Bangalore, Karnataka"
Software Engineer,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Morningstar DBRS is a leading provider of independent credit rating services and opinions for corporate and sovereign entities, financial institutions, and project and structured finance instruments globally. Rating more than 4,500 issuers and 68,000 securities, we are one of the top four credit rating agencies …",Not specified,https://www.adzuna.in/land/ad/5794153227?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=EDDC245760A75828B3CA6FB6F2DA9D56E966429C,Morningstar,"Mumbai, Maharashtra"
Software Engineer,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. As a member of the Product and Engineering team at PitchBook, you will be part of a team of big thinkers, innovators and problem solvers who strive to deepen the positive impact we have on our customers and our company every day. We value curiosity and the drive to find better ways of doing things. We thrive on …",Not specified,https://www.adzuna.in/land/ad/5785771924?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=6CDBEC00EFA716AB60296D850C88D907841EDBCA,Morningstar,"Mumbai, Maharashtra"
Software Engineer,"This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",Not specified,https://www.adzuna.in/land/ad/5785771837?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=513A932E51F164B2289F074CECF798F3A762FB7C,eBay,"Bangalore, Karnataka"
Software Engineer,"This job is with Cornerstone OnDemand, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. We are building next-generation platforms that leverage AI and machine learning to transform how organizations understand, develop, and deploy talent. Our applications serve enterprise clients and individual users through sophisticated web interfaces that handle complex data visualization, real-time ana…",Not specified,https://www.adzuna.in/land/ad/5785771851?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=E3240C79DA00C1C52B3A2DF251FA3BF209F82E81,Cornerstone OnDemand,"Hyderabad, Telangana"
Senior Software Engineer,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Title: Senior Software Engineer The Group: Morningstar's Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, al…",Not specified,https://www.adzuna.in/land/ad/5785772511?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=EBAAD25C1160BE2D20BFFF207D411F087B52A4F4,Morningstar,"Mumbai, Maharashtra"
Senior Software Engineer,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Principal Software Engineer ABB's Process Automation business area ena…",Not specified,https://www.adzuna.in/land/ad/5785770726?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=3C423CEA95E06187AFD43F11A935DA0ED8F80586,ABB,"Bangalore, Karnataka"
